task_no,option_no,type,cost,quality,volume,labor_cost,work_day,day_hour,e
2,Option2,Equipment,1150.0,0.9,10.0,300,7,10,0.65
2,Option2,Administration,120.0,0.85,10.0,300,7,11,0.6
2,Option2,Material,950.0,0.85,10.0,300,7,11,0.6
2,Option2,Equipment,1150.0,0.9,10.0,300,7,11,0.6
2,Option2,Administration,120.0,0.85,10.0,300,7,12,0.55
2,Option2,Material,950.0,0.85,10.0,300,7,12,0.55
2,Option2,Equipment,1150.0,0.9,10.0,300,7,12,0.55
2,Option3,Administration,150.0,1.0,10.0,300,5,8,1.0
2,Option3,Material,1100.0,1.0,10.0,300,5,8,1.0
2,Option3,Equipment,1100.0,1.0,10.0,300,5,8,1.0
2,Option3,Administration,150.0,1.0,10.0,300,5,9,0.9
2,Option3,Material,1100.0,1.0,10.0,300,5,9,0.9
2,Option3,Equipment,1100.0,1.0,10.0,300,5,9,0.9
2,Option3,Administration,150.0,1.0,10.0,300,5,10,0.85
2,Option3,Material,1100.0,1.0,10.0,300,5,10,0.85
2,Option3,Equipment,1100.0,1.0,10.0,300,5,10,0.85
2,Option3,Administration,150.0,1.0,10.0,300,5,11,0.65
2,Option3,Material,1100.0,1.0,10.0,300,5,11,0.65
2,Option3,Equipment,1100.0,1.0,10.0,300,5,11,0.65
2,Option3,Administration,150.0,1.0,10.0,300,5,12,0.6
2,Option3,Material,1100.0,1.0,10.0,300,5,12,0.6
2,Option3,Equipment,1100.0,1.0,10.0,300,5,12,0.6
2,Option3,Administration,150.0,1.0,10.0,300,6,8,0.9
2,Option3,Material,1100.0,1.0,10.0,300,6,8,0.9
2,Option3,Equipment,1100.0,1.0,10.0,300,6,8,0.9
2,Option3,Administration,150.0,1.0,10.0,300,6,9,0.85
2,Option3,Material,1100.0,1.0,10.0,300,6,9,0.85
2,Option3,Equipment,1100.0,1.0,10.0,300,6,9,0.85
2,Option3,Administration,150.0,1.0,10.0,300,6,10,0.8
2,Option3,Material,1100.0,1.0,10.0,300,6,10,0.8
2,Option3,Equipment,1100.0,1.0,10.0,300,6,10,0.8
2,Option3,Administration,150.0,1.0,10.0,300,6,11,0.65
2,Option3,Material,1100.0,1.0,10.0,300,6,11,0.65
2,Option3,Equipment,1100.0,1.0,10.0,300,6,11,0.65
2,Option3,Administration,150.0,1.0,10.0,300,6,12,0.6
2,Option3,Material,1100.0,1.0,10.0,300,6,12,0.6
2,Option3,Equipment,1100.0,1.0,10.0,300,6,12,0.6
2,Option3,Administration,150.0,1.0,10.0,300,7,8,0.75
2,Option3,Material,1100.0,1.0,10.0,300,7,8,0.75
2,Option3,Equipment,1100.0,1.0,10.0,300,7,8,0.75
2,Option3,Administration,150.0,1.0,10.0,300,7,9,0.7
2,Option3,Material,1100.0,1.0,10.0,300,7,9,0.7
2,Option3,Equipment,1100.0,1.0,10.0,300,7,9,0.7
2,Option3,Administration,150.0,1.0,10.0,300,7,10,0.65
2,Option3,Material,1100.0,1.0,10.0,300,7,10,0.65
2,Option3,Equipment,1100.0,1.0,10.0,300,7,10,0.65
2,Option3,Administration,150.0,1.0,10.0,300,7,11,0.6
2,Option3,Material,1100.0,1.0,10.0,300,7,11,0.6
2,Option3,Equipment,1100.0,1.0,10.0,300,7,11,0.6
2,Option3,Administration,150.0,1.0,10.0,300,7,12,0.55
2,Option3,Material,1100.0,1.0,10.0,300,7,12,0.55
2,Option3,Equipment,1100.0,1.0,10.0,300,7,12,0.55
3,Option1,Administration,90.0,0.7,2.3,600,5,8,1.0
3,Option1,Material,5600.0,0.7,2.3,600,5,8,1.0
3,Option1,Equipment,341.3,0.8,2.3,600,5,8,1.0
3,Option1,Administration,90.0,0.7,2.3,600,5,9,0.9
3,Option1,Material,5600.0,0.7,2.3,600,5,9,0.9
3,Option1,Equipment,341.3,0.8,2.3,600,5,9,0.9
3,Option1,Administration,90.0,0.7,2.3,600,5,10,0.85
3,Option1,Material,5600.0,0.7,2.3,600,5,10,0.85
3,Option1,Equipment,341.3,0.8,2.3,600,5,10,0.85
3,Option1,Administration,90.0,0.7,2.3,600,5,11,0.65
3,Option1,Material,5600.0,0.7,2.3,600,5,11,0.65
3,Option1,Equipment,341.3,0.8,2.3,600,5,11,0.65
3,Option1,Administration,90.0,0.7,2.3,600,5,12,0.6
3,Option1,Material,5600.0,0.7,2.3,600,5,12,0.6
3,Option1,Equipment,341.3,0.8,2.3,600,5,12,0.6
3,Option1,Administration,90.0,0.7,2.3,600,6,8,0.9
3,Option1,Material,5600.0,0.7,2.3,600,6,8,0.9
3,Option1,Equipment,341.3,0.8,2.3,600,6,8,0.9
3,Option1,Administration,90.0,0.7,2.3,600,6,9,0.85
3,Option1,Material,5600.0,0.7,2.3,600,6,9,0.85
3,Option1,Equipment,341.3,0.8,2.3,600,6,9,0.85
3,Option1,Administration,90.0,0.7,2.3,600,6,10,0.8
3,Option1,Material,5600.0,0.7,2.3,600,6,10,0.8
3,Option1,Equipment,341.3,0.8,2.3,600,6,10,0.8
3,Option1,Administration,90.0,0.7,2.3,600,6,11,0.65
3,Option1,Material,5600.0,0.7,2.3,600,6,11,0.65
3,Option1,Equipment,341.3,0.8,2.3,600,6,11,0.65
3,Option1,Administration,90.0,0.7,2.3,600,6,12,0.6
3,Option1,Material,5600.0,0.7,2.3,600,6,12,0.6
3,Option1,Equipment,341.3,0.8,2.3,600,6,12,0.6
3,Option1,Administration,90.0,0.7,2.3,600,7,8,0.75
3,Option1,Material,5600.0,0.7,2.3,600,7,8,0.75
3,Option1,Equipment,341.3,0.8,2.3,600,7,8,0.75
3,Option1,Administration,90.0,0.7,2.3,600,7,9,0.7
3,Option1,Material,5600.0,0.7,2.3,600,7,9,0.7
3,Option1,Equipment,341.3,0.8,2.3,600,7,9,0.7
3,Option1,Administration,90.0,0.7,2.3,600,7,10,0.65
3,Option1,Material,5600.0,0.7,2.3,600,7,10,0.65
3,Option1,Equipment,341.3,0.8,2.3,600,7,10,0.65
3,Option1,Administration,90.0,0.7,2.3,600,7,11,0.6
3,Option1,Material,5600.0,0.7,2.3,600,7,11,0.6
3,Option1,Equipment,341.3,0.8,2.3,600,7,11,0.6
3,Option1,Administration,90.0,0.7,2.3,600,7,12,0.55
3,Option1,Material,5600.0,0.7,2.3,600,7,12,0.55
3,Option1,Equipment,341.3,0.8,2.3,600,7,12,0.55
3,Option2,Administration,120.0,0.85,2.3,600,5,8,1.0
3,Option2,Material,6400.0,0.85,2.3,600,5,8,1.0
3,Option2,Equipment,310.9,0.9,2.3,600,5,8,1.0
3,Option2,Administration,120.0,0.85,2.3,600,5,9,0.9
3,Option2,Material,6400.0,0.85,2.3,600,5,9,0.9
3,Option2,Equipment,310.9,0.9,2.3,600,5,9,0.9
3,Option2,Administration,120.0,0.85,2.3,600,5,10,0.85
3,Option2,Material,6400.0,0.85,2.3,600,5,10,0.85
3,Option2,Equipment,310.9,0.9,2.3,600,5,10,0.85
3,Option2,Administration,120.0,0.85,2.3,600,5,11,0.65
3,Option2,Material,6400.0,0.85,2.3,600,5,11,0.65
3,Option2,Equipment,310.9,0.9,2.3,600,5,11,0.65
3,Option2,Administration,120.0,0.85,2.3,600,5,12,0.6
3,Option2,Material,6400.0,0.85,2.3,600,5,12,0.6
3,Option2,Equipment,310.9,0.9,2.3,600,5,12,0.6
3,Option2,Administration,120.0,0.85,2.3,600,6,8,0.9
3,Option2,Material,6400.0,0.85,2.3,600,6,8,0.9
3,Option2,Equipment,310.9,0.9,2.3,600,6,8,0.9
3,Option2,Administration,120.0,0.85,2.3,600,6,9,0.85
3,Option2,Material,6400.0,0.85,2.3,600,6,9,0.85
3,Option2,Equipment,310.9,0.9,2.3,600,6,9,0.85
3,Option2,Administration,120.0,0.85,2.3,600,6,10,0.8
3,Option2,Material,6400.0,0.85,2.3,600,6,10,0.8
3,Option2,Equipment,310.9,0.9,2.3,600,6,10,0.8
3,Option2,Administration,120.0,0.85,2.3,600,6,11,0.65
3,Option2,Material,6400.0,0.85,2.3,600,6,11,0.65
3,Option2,Equipment,310.9,0.9,2.3,600,6,11,0.65
3,Option2,Administration,120.0,0.85,2.3,600,6,12,0.6
3,Option2,Material,6400.0,0.85,2.3,600,6,12,0.6
3,Option2,Equipment,310.9,0.9,2.3,600,6,12,0.6
3,Option2,Administration,120.0,0.85,2.3,600,7,8,0.75
3,Option2,Material,6400.0,0.85,2.3,600,7,8,0.75
3,Option2,Equipment,310.9,0.9,2.3,600,7,8,0.75
3,Option2,Administration,120.0,0.85,2.3,600,7,9,0.7
3,Option2,Material,6400.0,0.85,2.3,600,7,9,0.7
3,Option2,Equipment,310.9,0.9,2.3,600,7,9,0.7
3,Option2,Administration,120.0,0.85,2.3,600,7,10,0.65
3,Option2,Material,6400.0,0.85,2.3,600,7,10,0.65
3,Option2,Equipment,310.9,0.9,2.3,600,7,10,0.65
3,Option2,Administration,120.0,0.85,2.3,600,7,11,0.6
3,Option2,Material,6400.0,0.85,2.3,600,7,11,0.6
3,Option2,Equipment,310.9,0.9,2.3,600,7,11,0.6
3,Option2,Administration,120.0,0.85,2.3,600,7,12,0.55
3,Option2,Material,6400.0,0.85,2.3,600,7,12,0.55
3,Option2,Equipment,310.9,0.9,2.3,600,7,12,0.55
3,Option3,Administration,150.0,1.0,2.3,600,5,8,1.0
3,Option3,Material,7200.0,1.0,2.3,600,5,8,1.0
3,Option3,Equipment,288.0,1.0,2.3,600,5,8,1.0
3,Option3,Administration,150.0,1.0,2.3,600,5,9,0.9
3,Option3,Material,7200.0,1.0,2.3,600,5,9,0.9
3,Option3,Equipment,288.0,1.0,2.3,600,5,9,0.9
3,Option3,Administration,150.0,1.0,2.3,600,5,10,0.85
3,Option3,Material,7200.0,1.0,2.3,600,5,10,0.85
3,Option3,Equipment,288.0,1.0,2.3,600,5,10,0.85
3,Option3,Administration,150.0,1.0,2.3,600,5,11,0.65
3,Option3,Material,7200.0,1.0,2.3,600,5,11,0.65
3,Option3,Equipment,288.0,1.0,2.3,600,5,11,0.65
3,Option3,Administration,150.0,1.0,2.3,600,5,12,0.6
3,Option3,Material,7200.0,1.0,2.3,600,5,12,0.6
3,Option3,Equipment,288.0,1.0,2.3,600,5,12,0.6
3,Option3,Administration,150.0,1.0,2.3,600,6,8,0.9
3,Option3,Material,7200.0,1.0,2.3,600,6,8,0.9
3,Option3,Equipment,288.0,1.0,2.3,600,6,8,0.9
3,Option3,Administration,150.0,1.0,2.3,600,6,9,0.85
3,Option3,Material,7200.0,1.0,2.3,600,6,9,0.85
3,Option3,Equipment,288.0,1.0,2.3,600,6,9,0.85
3,Option3,Administration,150.0,1.0,2.3,600,6,10,0.8
3,Option3,Material,7200.0,1.0,2.3,600,6,10,0.8
3,Option3,Equipment,288.0,1.0,2.3,600,6,10,0.8
3,Option3,Administration,150.0,1.0,2.3,600,6,11,0.65
3,Option3,Material,7200.0,1.0,2.3,600,6,11,0.65
3,Option3,Equipment,288.0,1.0,2.3,600,6,11,0.65
3,Option3,Administration,150.0,1.0,2.3,600,6,12,0.6
3,Option3,Material,7200.0,1.0,2.3,600,6,12,0.6
3,Option3,Equipment,288.0,1.0,2.3,600,6,12,0.6
3,Option3,Administration,150.0,1.0,2.3,600,7,8,0.75
3,Option3,Material,7200.0,1.0,2.3,600,7,8,0.75
3,Option3,Equipment,288.0,1.0,2.3,600,7,8,0.75
3,Option3,Administration,150.0,1.0,2.3,600,7,9,0.7
3,Option3,Material,7200.0,1.0,2.3,600,7,9,0.7
3,Option3,Equipment,288.0,1.0,2.3,600,7,9,0.7
3,Option3,Administration,150.0,1.0,2.3,600,7,10,0.65
3,Option3,Material,7200.0,1.0,2.3,600,7,10,0.65
3,Option3,Equipment,288.0,1.0,2.3,600,7,10,0.65
3,Option3,Administration,150.0,1.0,2.3,600,7,11,0.6
3,Option3,Material,7200.0,1.0,2.3,600,7,11,0.6
3,Option3,Equipment,288.0,1.0,2.3,600,7,11,0.6
3,Option3,Administration,150.0,1.0,2.3,600,7,12,0.55
3,Option3,Material,7200.0,1.0,2.3,600,7,12,0.55
3,Option3,Equipment,288.0,1.0,2.3,600,7,12,0.55
4,Option1,Administration,90.0,0.7,3.0,750,5,8,1.0
4,Option1,Material,18200.0,0.7,3.0,750,5,8,1.0
4,Option1,Equipment,520.0,0.9,3.0,750,5,8,1.0
4,Option1,Administration,90.0,0.7,3.0,750,5,9,0.9
4,Option1,Material,18200.0,0.7,3.0,750,5,9,0.9
4,Option1,Equipment,520.0,0.9,3.0,750,5,9,0.9
4,Option1,Administration,90.0,0.7,3.0,750,5,10,0.85
4,Option1,Material,18200.0,0.7,3.0,750,5,10,0.85
4,Option1,Equipment,520.0,0.9,3.0,750,5,10,0.85
4,Option1,Administration,90.0,0.7,3.0,750,5,11,0.65
4,Option1,Material,18200.0,0.7,3.0,750,5,11,0.65
4,Option1,Equipment,520.0,0.9,3.0,750,5,11,0.65
4,Option1,Administration,90.0,0.7,3.0,750,5,12,0.6
4,Option1,Material,18200.0,0.7,3.0,750,5,12,0.6
4,Option1,Equipment,520.0,0.9,3.0,750,5,12,0.6
4,Option1,Administration,90.0,0.7,3.0,750,6,8,0.9
4,Option1,Material,18200.0,0.7,3.0,750,6,8,0.9
4,Option1,Equipment,520.0,0.9,3.0,750,6,8,0.9
4,Option1,Administration,90.0,0.7,3.0,750,6,9,0.85
4,Option1,Material,18200.0,0.7,3.0,750,6,9,0.85
4,Option1,Equipment,520.0,0.9,3.0,750,6,9,0.85
4,Option1,Administration,90.0,0.7,3.0,750,6,10,0.8
4,Option1,Material,18200.0,0.7,3.0,750,6,10,0.8
